,FLEET,AC CODE,"FLT#
(OB)","FLT#
(IB)",ORIG,DEST,"DEST
(ret)","ORIG
(ret)","DEP OB
(HHMM)","ARR OB
(HHMM)","BLOCK OB
(HHMM)","DEP IB
(HHMM)","ARR IB
(HHMM)","BLOCK IB
(HHMM)",OPR,,,,,,,
Domestic,320/D,H319,1862,1862,AUS,ABQ,ABQ,AUS,1743,1850,0207,1930,2225,0155,NAC,,,,,,,
Domestic,320/D,H319,3242,3243,AUS,AMA,AMA,AUS,2013,2155,0142,0845,1022,0137,NAC,,,,,,,
Alaska,320/D,321E,542,543,AUS,ANC,ANC,AUS,1930,2351,0721,2015,0549,0634,NAC,,,,,,,
Alaska,320/D,321E,590,599,AUS,ANC,ANC,AUS,1409,1830,0721,0700,1634,0634,NAC,,,,,,,
Domestic,320/D,321K,2022,2051,AUS,ATL,ATL,AUS,1445,1748,0203,1833,2005,0232,NAC,,,,,,,
Domestic,320/D,321R,1278,1279,AUS,BOS,BOS,AUS,1210,1702,0352,1747,2113,0426,NAC,,,,,,,
Domestic,320/D,H319,1366,1417,AUS,CHS,CHS,AUS,0920,1300,0240,1345,1549,0304,NAC,,,,,,,
Domestic,320/D,H205,1506,1539,AUS,CID,CID,AUS,2129,2354,0225,0515,0747,0232,NAC,,,,,,,
Domestic,320/D,H205,895,895,AUS,CID,CID,AUS,1510,1735,0225,1823,2055,0232,NAC,,,,,,,
Domestic,320/D,A320,3134,3135,AUS,CVG,CVG,AUS,2028,2359,0231,0545,0733,0248,NAC,,,,,,,
Domestic,320/D,A320,1400,1439,AUS,CVG,CVG,AUS,0925,1256,0231,1341,1529,0248,NAC,,,,,,,
Domestic,320/D,321R,1414,1415,AUS,DCA,DCA,AUS,1705,2114,0309,0600,0836,0336,NAC,,,,,,,
Domestic,E175,E7W,6248,6249,LAX,ABQ,ABQ,LAX,0755,1101,0206,1146,1301,0215,SSX,,,,,,,
Domestic,E145,EMJ,5976,5977,RDU,AGS,AGS,RDU,2123,2250,0127,0600,0723,0123,EMY,,,,,,,
Domestic,E145,EMJ,6058,6059,RDU,AGS,AGS,RDU,1443,1610,0127,1655,1818,0123,EMY,,,,,,,
Domestic,320/D,321R,2084,2117,AUS,DEN,DEN,AUS,1336,1445,0209,1540,1850,0210,NAC,,0620,0729,0814,1124,0045,0045
Domestic,737/D,738K,3124,3125,MIA,DEN,DEN,MIA,2050,2300,0410,2355,0544,0349,NAC,,0650,0900,0945,1534,0045,0045
Domestic,320/D,H205,3888,3889,PHX,DEN,DEN,PHX,0815,1057,0142,1242,1343,0201,NAC,,,,,,,
Domestic,320/D,321R,588,589,AUS,DEN,DEN,AUS,0930,1039,0209,1140,1450,0210,NAC,,0620,0729,0814,1124,0045,0045
Domestic,737/D,738K,2976,2977,AUS,DEN,DEN,AUS,1115,1224,0209,1315,1625,0210,NAC,,0620,0729,0814,1124,0045,0045
Domestic,737/D,738K,2134,2173,AUS,DEN,DEN,AUS,1655,1804,0209,1849,2159,0210,NAC,,1520,1629,1714,2024,0045,0045
Domestic,320/D,321R,1830,1821,AUS,DEN,DEN,AUS,2245,2354,0209,0509,0819,0210,NAC,,2340,0049,0535,0845,0045,0045
Domestic,737/D,738K,1080,1087,MIA,DEN,DEN,MIA,1110,1320,0410,1401,1950,0349,NAC,,0640,0850,0935,1524,0045,0045
Domestic,320/D,319S,1994,2019,AUS,DFW,DFW,AUS,2248,2355,0107,0400,0520,0120,NAC,,,,,,,
Domestic,320/D,H319,1760,1787,AUS,DFW,DFW,AUS,1310,1417,0107,1450,1610,0120,NAC,,,,,,,
Domestic,320/D,H205,2324,2353,AUS,DSM,DSM,AUS,2138,2357,0219,0504,0728,0224,NAC,,,,,,,
Domestic,320/D,H205,722,727,AUS,DSM,DSM,AUS,0904,1123,0219,1210,1434,0224,NAC,,,,,,,
Domestic,737/D,738K,2470,2499,AUS,DTW,DTW,AUS,1125,1518,0253,1558,1809,0311,NAC,,1520,1620,1705,1916,0045,0045
